rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
993,5224.5852,4.0,0.25,1.5,0.5,8e-05,80.0,3583.590921,809.583974,9.583974,217.796125,60.860000,1.000000,9.834254,138.657788,0.271957,4.985126,0.000000,0.486669
994,5224.8877,3.45,0.85,1.82,0.61,9e-05,76.0,3419.216266,936.570320,136.570320,214.453297,59.200000,1.000000,9.931463,117.534987,0.341907,4.971837,0.000000,0.849132
995,5225.1777,4.4,0.25,1.5,0.5,8e-05,80.0,3582.245964,811.443992,11.443992,217.745906,60.840000,1.000000,9.821468,138.660425,0.274528,4.980569,0.000000,0.488033
996,5225.3583,4.4,0.9,1.5,0.5,8e-05,80.0,3579.800186,812.993651,12.993651,217.718816,60.820000,1.000000,9.813880,138.663662,0.277284,4.977328,0.000000,0.489297
997,5225.9593,4.15,0.35,1.98,0.63,5e-05,75.2,3416.839727,861.079936,61.079936,214.315264,59.220000,1.000000,10.370359,114.243101,0.315849,5.293451,0.000000,1.050518
998,5226.0103,4.0,1.0,1.5,0.66,4e-05,80.0,3547.943464,819.012349,19.012349,217.067044,60.480000,1.000000,9.925660,134.345300,0.271426,5.044423,0.000000,0.622504
999,5226.1828,3.6,0.85,1.82,0.61,7e-05,76.8,3429.907992,853.302540,53.302540,214.577331,59.280000,1.000000,10.325350,119.475831,0.353228,5.240460,0.000000,0.734326
1000,5226.2017,4.0,0.3,1.82,0.63,5e-05,75.2,3417.067497,918.640326,118.640326,214.346468,59.220000,1.000000,10.117984,115.670804,0.336583,5.048913,0.000000,1.020835
1001,5226.6058,3.45,0.85,1.82,0.61,8e-05,76.0,3419.216266,936.570320,136.570320,214.453297,59.200000,1.000000,9.931463,117.534987,0.341907,4.971837,0.000000,0.870607
1002,5226.7085,4.4,0.8,1.5,0.5,8e-05,80.0,3579.765006,813.276433,13.276433,217.719624,60.820000,1.000000,9.812625,138.663183,0.277323,4.977827,0.000000,0.489117
1003,5226.8886,3.45,0.8,1.82,0.61,9e-05,76.0,3419.184216,936.977516,136.977516,214.454074,59.200000,1.000000,9.930047,117.534234,0.341987,4.972543,0.000000,0.848802
1004,5227.8222,3.85,0.3,1.9,0.69,7e-05,76.0,3429.602299,674.323383,125.676617,214.500849,59.340000,1.000000,11.189464,117.756047,0.294153,4.574023,0.000000,1.036323
1005,5228.0483,4.4,1.1,1.5,0.5,6e-05,80.0,3579.870602,812.427581,12.427581,217.717199,60.820000,1.000000,9.816394,138.664600,0.277205,4.976328,0.000000,0.557070
1006,5228.0579,4.4,0.7,1.5,0.5,8e-05,80.0,3579.729870,813.559045,13.559045,217.720431,60.820000,1.000000,9.811371,138.662697,0.277362,4.978326,0.000000,0.488937
1007,5228.2066,4.0,1.1,1.9,0.66,8e-05,78.0,3480.375229,837.906035,37.906035,215.649720,59.800000,1.000000,10.116155,126.285410,0.293456,5.161712,0.000000,0.685704
1008,5228.6066,3.45,0.8,1.82,0.61,8e-05,76.0,3419.184216,936.977516,136.977516,214.454074,59.200000,1.000000,9.930047,117.534234,0.341987,4.972543,0.000000,0.870277
1009,5228.8889,3.45,0.75,1.82,0.61,9e-05,76.0,3419.152164,937.384580,137.384580,214.454850,59.200000,1.000000,9.928634,117.533478,0.342067,4.973248,0.000000,0.848471
1010,5229.1760,4.0,1.1,1.5,0.5,8e-05,80.0,3582.263661,812.299221,12.299221,217.745510,60.840000,1.000000,9.817664,138.660983,0.274593,4.981818,0.000000,0.487444
1011,5229.2230,4.4,0.35,1.5,0.5,6e-05,80.0,3582.281794,811.161884,11.161884,217.745087,60.840000,1.000000,9.822716,138.660942,0.274490,4.980071,0.000000,0.555603
1012,5229.4003,4.4,1.0,1.5,0.5,6e-05,80.0,3579.835385,812.710701,12.710701,217.718008,60.820000,1.000000,9.815136,138.664134,0.277244,4.976828,0.000000,0.556890
1013,5229.4064,4.4,0.6,1.5,0.5,8e-05,80.0,3579.694769,813.841488,13.841488,217.721237,60.820000,1.000000,9.810118,138.662204,0.277402,4.978825,0.000000,0.488757
1014,5229.8103,4.4,0.25,1.7,0.66,4e-05,78.0,3486.180338,708.434284,91.565716,215.687963,59.880000,1.000000,10.798897,125.961429,0.280646,4.260319,0.000000,0.911970
1015,5230.0285,4.4,0.45,1.5,0.5,6e-05,80.0,3581.731339,811.694470,11.694470,217.754440,60.840000,1.000000,9.819860,138.661452,0.275061,4.979573,0.000000,0.555768
1016,5230.2319,4.0,1.0,1.5,0.5,8e-05,80.0,3582.235664,812.520480,12.520480,217.746149,60.840000,1.000000,9.816684,138.660622,0.274623,4.982208,0.000000,0.487303
1017,5230.5689,4.4,0.25,1.5,0.5,6e-05,80.0,3582.245964,811.443992,11.443992,217.745906,60.840000,1.000000,9.821468,138.660425,0.274528,4.980569,0.000000,0.555423
1018,5230.6069,3.45,0.75,1.82,0.61,8e-05,76.0,3419.152164,937.384580,137.384580,214.454850,59.200000,1.000000,9.928634,117.533478,0.342067,4.973248,0.000000,0.869946
1019,5230.7513,4.4,0.9,1.5,0.5,6e-05,80.0,3579.800186,812.993651,12.993651,217.718816,60.820000,1.000000,9.813880,138.663662,0.277284,4.977328,0.000000,0.556710
1020,5230.9489,3.85,0.3,1.9,0.69,6e-05,76.0,3429.602299,674.323383,125.676617,214.500849,59.340000,1.000000,11.189464,117.756047,0.294153,4.574023,0.000000,1.075408
1021,5230.9867,4.4,0.7,1.7,0.5,4e-05,78.0,3493.132917,705.350718,94.649282,215.853715,59.960000,1.000000,10.794926,124.964160,0.284715,4.582274,0.000000,0.912349
1022,5231.2871,4.0,0.9,1.5,0.5,8e-05,80.0,3582.207682,812.741605,12.741605,217.746788,60.840000,1.000000,9.815706,138.660257,0.274653,4.982598,0.000000,0.487162
1023,5231.9567,4.4,0.6,1.5,0.58,8e-05,78.0,3492.578288,754.279506,45.720494,215.883448,59.960000,1.000000,10.539736,125.156448,0.285410,5.075214,0.000000,0.684222
1024,5232.1015,4.4,0.8,1.5,0.5,6e-05,80.0,3579.765006,813.276433,13.276433,217.719624,60.820000,1.000000,9.812625,138.663183,0.277323,4.977827,0.000000,0.556529
